Dataset x,Dataset y
3.649068136846E2,3.166069978382E-3
3.829842954694E2,3.179795715283E-4
3.933157948917E2,3.367380786256E-3
4.013951754035E2,3.021034691800E-2
4.065719743329E2,6.596131629817E-2
4.104622599426E2,1.165841216100E-1
4.137116908964E2,1.820833380992E-1
4.172897159916E2,2.654420259188E-1
4.199011746943E2,3.547462454391E-1
4.218660139316E2,4.410696924291E-1
4.241565649056E2,5.363240188958E-1
4.257976140094E2,6.196689809784E-1
4.274405847164E2,7.089663376303E-1
4.290816338202E2,7.923112997129E-1
4.304027359969E2,8.845825660265E-1
4.313914008258E2,9.470895718714E-1
4.333389456346E2,9.798414677388E-1
4.346360277717E2,9.977078019376E-1
4.368852642776E2,9.649856451668E-1
4.384792341039E2,9.024969403045E-1
4.397398057808E2,8.072677776888E-1
4.410090246720E2,7.388243906345E-1
4.419592574376E2,6.822835050957E-1
4.432236723209E2,5.989591316184E-1
4.448099557345E2,5.126608484793E-1
4.470399762087E2,4.204147460167E-1
4.495957084196E2,3.370995230306E-1
4.527980600959E2,2.567650725748E-1
4.566460704359E2,1.764351973647E-1
4.621082274355E2,9.611676026857E-2
4.704835348348E2,3.962849005456E-2
4.791912795818E2,1.290448030929E-2
4.908102531255E2,4.058242876914E-3
5.095333935741E2,1.214727715694E-3
5.414934974321E2,1.441202374553E-3
5.682883319798E2,1.631075068343E-3
5.908873460144E2,4.767405950107E-3
6.070403422284E2,4.059615450604E-2
6.190013611356E2,9.127615038832E-2
6.264475734041E2,1.568051059741E-1
6.290417376783E2,1.925377743718E-1
6.329358664943E2,2.550653688220E-1
6.355405995859E2,3.235362073501E-1
6.384681620094E2,3.920093335011E-1
6.417300833839E2,4.961991146900E-1
6.440139087467E2,5.706200601645E-1
6.459749047777E2,6.450387180162E-1
6.479349400071E2,7.164811785833E-1
6.498930536333E2,7.819712445812E-1
6.518473240532E2,8.355565214407E-1
6.531482493966E2,8.653276447779E-1
6.547681608656E2,8.831962665996E-1
6.566964896428E2,8.564242167751E-1
6.582952634770E2,8.088164983358E-1
6.595644823681E2,7.403731112814E-1
6.608279364498E2,6.540725405195E-1
6.624074942523E2,5.469408763883E-1
6.639870520549E2,4.398092122571E-1
6.652533885413E2,3.624372333490E-1
6.674843698171E2,2.731673281709E-1
6.693934825626E2,1.868713326547E-1
6.719578619877E2,1.303418852300E-1
6.751698216798E2,7.976940762007E-2
6.790332048452E2,4.705868896336E-2
6.851563933339E2,1.436398366637E-2
6.951612202180E2,5.506308119917E-3
7.109788966795E2,2.642204353346E-3
7.280898120718E2,5.739645647226E-3
7.800653345076E2,6.107952920722E-3
